family,period,date,candidate,unit,modeled_cost,application_score,frozen_nonprice_continuous_score,lowest_cost,application_first
aem-electrolyzer-oer,monthly,2020-05,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-05,nico2o4-spinel,$/cm2,1.506422,46.8,46.76588570992604,False,False
aem-electrolyzer-oer,monthly,2020-05,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-06,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-06,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-06,nico2o4-spinel,$/cm2,1.506423,46.8,46.76481757839312,False,False
aem-electrolyzer-oer,monthly,2020-06,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-07,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-07,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-07,nico2o4-spinel,$/cm2,1.506425,46.8,46.76268131532776,False,False
aem-electrolyzer-oer,monthly,2020-07,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-08,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-08,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-08,nico2o4-spinel,$/cm2,1.506427,46.8,46.76054505226216,False,False
aem-electrolyzer-oer,monthly,2020-08,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-09,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-09,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-09,nico2o4-spinel,$/cm2,1.506428,46.8,46.75947692072924,False,False
aem-electrolyzer-oer,monthly,2020-09,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-10,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-10,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-10,nico2o4-spinel,$/cm2,1.506428,46.8,46.75947692072924,False,False
aem-electrolyzer-oer,monthly,2020-10,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-11,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-11,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-11,nico2o4-spinel,$/cm2,1.506429,46.8,46.758408789196565,False,False
aem-electrolyzer-oer,monthly,2020-11,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2020-12,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2020-12,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2020-12,nico2o4-spinel,$/cm2,1.506432,46.8,46.75520439459828,False,False
aem-electrolyzer-oer,monthly,2020-12,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-01,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-01,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2021-01,nico2o4-spinel,$/cm2,1.506434,46.8,46.753068131532686,False,False
aem-electrolyzer-oer,monthly,2021-01,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-02,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-02,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2021-02,nico2o4-spinel,$/cm2,1.506435,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-02,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-03,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-03,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2021-03,nico2o4-spinel,$/cm2,1.506431,46.8,46.756272526130964,False,False
aem-electrolyzer-oer,monthly,2021-03,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-04,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-04,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2021-04,nico2o4-spinel,$/cm2,1.506431,46.8,46.756272526130964,False,False
aem-electrolyzer-oer,monthly,2021-04,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-05,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-05,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2021-05,nico2o4-spinel,$/cm2,1.506433,46.8,46.754136263065604,False,False
aem-electrolyzer-oer,monthly,2021-05,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-06,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-06,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2021-06,nico2o4-spinel,$/cm2,1.506434,46.8,46.753068131532686,False,False
aem-electrolyzer-oer,monthly,2021-06,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2021-07,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-07,nife-seed-assisted,$/cm2,1.48186,71.0,70.94973297390786,False,False
aem-electrolyzer-oer,monthly,2021-07,nico2o4-spinel,$/cm2,1.506436,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-07,nife-ldh-scalable,$/cm2,1.506435,43.9,43.8890681043692,False,False
aem-electrolyzer-oer,monthly,2021-08,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-08,nife-seed-assisted,$/cm2,1.48186,71.0,70.94973297390786,False,False
aem-electrolyzer-oer,monthly,2021-08,nico2o4-spinel,$/cm2,1.506436,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-08,nife-ldh-scalable,$/cm2,1.506435,43.9,43.8890681043692,False,False
aem-electrolyzer-oer,monthly,2021-09,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-09,nife-seed-assisted,$/cm2,1.48186,71.0,70.95013350965093,False,False
aem-electrolyzer-oer,monthly,2021-09,nico2o4-spinel,$/cm2,1.506437,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-09,nife-ldh-scalable,$/cm2,1.506435,43.9,43.890136154413504,False,False
aem-electrolyzer-oer,monthly,2021-10,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-10,nife-seed-assisted,$/cm2,1.48186,71.0,70.95013350965093,False,False
aem-electrolyzer-oer,monthly,2021-10,nico2o4-spinel,$/cm2,1.506437,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-10,nife-ldh-scalable,$/cm2,1.506435,43.9,43.890136154413504,False,False
aem-electrolyzer-oer,monthly,2021-11,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-11,nife-seed-assisted,$/cm2,1.48186,71.0,70.95053402502293,False,False
aem-electrolyzer-oer,monthly,2021-11,nico2o4-spinel,$/cm2,1.506438,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-11,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89120415013729,False,False
aem-electrolyzer-oer,monthly,2021-12,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2021-12,nife-seed-assisted,$/cm2,1.48186,71.0,70.95053402502293,False,False
aem-electrolyzer-oer,monthly,2021-12,nico2o4-spinel,$/cm2,1.506438,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2021-12,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89120415013729,False,False
aem-electrolyzer-oer,monthly,2022-01,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-01,nife-seed-assisted,$/cm2,1.48186,71.0,70.95253629637169,False,False
aem-electrolyzer-oer,monthly,2022-01,nico2o4-spinel,$/cm2,1.506443,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-01,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89654331409393,False,False
aem-electrolyzer-oer,monthly,2022-02,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-02,nife-seed-assisted,$/cm2,1.48186,71.0,70.95373741482767,False,False
aem-electrolyzer-oer,monthly,2022-02,nico2o4-spinel,$/cm2,1.506446,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-02,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89974616088679,False,False
aem-electrolyzer-oer,monthly,2022-03,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-03,nife-seed-assisted,$/cm2,1.48186,71.0,70.96174019109586,False,False
aem-electrolyzer-oer,monthly,2022-03,nico2o4-spinel,$/cm2,1.506466,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-03,nife-ldh-scalable,$/cm2,1.506435,43.9,43.92108599308815,False,False
aem-electrolyzer-oer,monthly,2022-04,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-04,nife-seed-assisted,$/cm2,1.48186,71.0,70.96094027954265,False,False
aem-electrolyzer-oer,monthly,2022-04,nico2o4-spinel,$/cm2,1.506464,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-04,nife-ldh-scalable,$/cm2,1.506435,43.9,43.91895298602293,False,False
aem-electrolyzer-oer,monthly,2022-05,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-05,nife-seed-assisted,$/cm2,1.48186,71.0,70.95693950177942,False,False
aem-electrolyzer-oer,monthly,2022-05,nico2o4-spinel,$/cm2,1.506454,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-05,nife-ldh-scalable,$/cm2,1.506435,43.9,43.90828469750888,False,False
aem-electrolyzer-oer,monthly,2022-06,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-06,nife-seed-assisted,$/cm2,1.48186,71.0,70.95533862111053,False,False
aem-electrolyzer-oer,monthly,2022-06,nico2o4-spinel,$/cm2,1.50645,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-06,nife-ldh-scalable,$/cm2,1.506435,43.9,43.9040158633314,False,False
aem-electrolyzer-oer,monthly,2022-07,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-07,nife-seed-assisted,$/cm2,1.48186,71.0,70.95173544892825,False,False
aem-electrolyzer-oer,monthly,2022-07,nico2o4-spinel,$/cm2,1.506441,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-07,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89440781142721,False,False
aem-electrolyzer-oer,monthly,2022-08,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-08,nife-seed-assisted,$/cm2,1.48186,71.0,70.95213588283167,False,False
aem-electrolyzer-oer,monthly,2022-08,nico2o4-spinel,$/cm2,1.506442,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-08,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89547558991059,False,False
aem-electrolyzer-oer,monthly,2022-09,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-09,nife-seed-assisted,$/cm2,1.48186,71.0,70.95253629637169,False,False
aem-electrolyzer-oer,monthly,2022-09,nico2o4-spinel,$/cm2,1.506443,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-09,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89654331409393,False,False
aem-electrolyzer-oer,monthly,2022-10,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-10,nife-seed-assisted,$/cm2,1.48186,71.0,70.95213588283167,False,False
aem-electrolyzer-oer,monthly,2022-10,nico2o4-spinel,$/cm2,1.506442,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-10,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89547558991059,False,False
aem-electrolyzer-oer,monthly,2022-11,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-11,nife-seed-assisted,$/cm2,1.48186,71.0,70.95493835006995,False,False
aem-electrolyzer-oer,monthly,2022-11,nico2o4-spinel,$/cm2,1.506449,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-11,nife-ldh-scalable,$/cm2,1.506435,43.9,43.9029485191305,False,False
aem-electrolyzer-oer,monthly,2022-12,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2022-12,nife-seed-assisted,$/cm2,1.48186,71.0,70.95773982003973,False,False
aem-electrolyzer-oer,monthly,2022-12,nico2o4-spinel,$/cm2,1.506456,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2022-12,nife-ldh-scalable,$/cm2,1.506435,43.9,43.910418789080424,False,False
aem-electrolyzer-oer,monthly,2023-01,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-01,nife-seed-assisted,$/cm2,1.48186,71.0,70.95693950177942,False,False
aem-electrolyzer-oer,monthly,2023-01,nico2o4-spinel,$/cm2,1.506454,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-01,nife-ldh-scalable,$/cm2,1.506435,43.9,43.90828469750888,False,False
aem-electrolyzer-oer,monthly,2023-02,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-02,nife-seed-assisted,$/cm2,1.48186,71.0,70.95573887180015,False,False
aem-electrolyzer-oer,monthly,2023-02,nico2o4-spinel,$/cm2,1.506451,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-02,nife-ldh-scalable,$/cm2,1.506435,43.9,43.90508315326539,False,False
aem-electrolyzer-oer,monthly,2023-03,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-03,nife-seed-assisted,$/cm2,1.48186,71.0,70.95293668954999,False,False
aem-electrolyzer-oer,monthly,2023-03,nico2o4-spinel,$/cm2,1.506444,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-03,nife-ldh-scalable,$/cm2,1.506435,43.9,43.897610983981615,False,False
aem-electrolyzer-oer,monthly,2023-04,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-04,nife-seed-assisted,$/cm2,1.48186,71.0,70.95333706236819,False,False
aem-electrolyzer-oer,monthly,2023-04,nico2o4-spinel,$/cm2,1.506445,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-04,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89867859957801,False,False
aem-electrolyzer-oer,monthly,2023-05,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-05,nife-seed-assisted,$/cm2,1.48186,71.0,70.95213588283167,False,False
aem-electrolyzer-oer,monthly,2023-05,nico2o4-spinel,$/cm2,1.506442,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-05,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89547558991059,False,False
aem-electrolyzer-oer,monthly,2023-06,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-06,nife-seed-assisted,$/cm2,1.48186,71.0,70.95133499466009,False,False
aem-electrolyzer-oer,monthly,2023-06,nico2o4-spinel,$/cm2,1.50644,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-06,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89333997864012,False,False
aem-electrolyzer-oer,monthly,2023-07,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-07,nife-seed-assisted,$/cm2,1.48186,71.0,70.95133499466009,False,False
aem-electrolyzer-oer,monthly,2023-07,nico2o4-spinel,$/cm2,1.50644,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-07,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89333997864012,False,False
aem-electrolyzer-oer,monthly,2023-08,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-08,nife-seed-assisted,$/cm2,1.48186,71.0,70.95093452002553,False,False
aem-electrolyzer-oer,monthly,2023-08,nico2o4-spinel,$/cm2,1.506439,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-08,nife-ldh-scalable,$/cm2,1.506435,43.9,43.89227209154494,False,False
aem-electrolyzer-oer,monthly,2023-09,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-09,nife-seed-assisted,$/cm2,1.48186,71.0,70.95013350965093,False,False
aem-electrolyzer-oer,monthly,2023-09,nico2o4-spinel,$/cm2,1.506437,46.8,46.752,False,False
aem-electrolyzer-oer,monthly,2023-09,nife-ldh-scalable,$/cm2,1.506435,43.9,43.890136154413504,False,False
aem-electrolyzer-oer,monthly,2023-10,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-10,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2023-10,nico2o4-spinel,$/cm2,1.506434,46.8,46.753068131532686,False,False
aem-electrolyzer-oer,monthly,2023-10,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2023-11,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
aem-electrolyzer-oer,monthly,2023-11,nife-seed-assisted,$/cm2,1.48186,71.0,70.94933241779208,False,False
aem-electrolyzer-oer,monthly,2023-11,nico2o4-spinel,$/cm2,1.506432,46.8,46.75520439459828,False,False
aem-electrolyzer-oer,monthly,2023-11,nife-ldh-scalable,$/cm2,1.506435,43.9,43.888,False,False
aem-electrolyzer-oer,monthly,2023-12,cr-doped-amorphous,$/cm2,1.467114,85.0,84.97200000000001,True,True
